City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
255,Jinxi,CN,30.43,116.29,34.38,83,0,3.74,clear sky
256,Yatou,CN,37.15,122.38,26.47,92,0,7.65,clear sky
257,Sawakin,SD,19.11,37.33,77.47,74,85,6.49,light rain
258,Acarau,BR,-2.89,-40.12,80.17,73,3,17.63,clear sky
259,San Policarpo,PH,12.18,125.51,81.75,82,100,11.61,overcast clouds
260,Kudahuvadhoo,MV,2.67,72.89,80.2,80,100,6.42,light rain
261,Darhan,MN,49.49,105.92,6.26,87,35,6.38,scattered clouds
262,Columbia,US,34.0,-81.03,51.01,81,90,4.65,overcast clouds
263,Sernovodskoye,RU,43.32,45.16,32.0,96,75,4.47,broken clouds
264,Srednekolymsk,RU,67.45,153.68,-37.82,82,6,1.05,clear sky
265,Arlit,NE,18.74,7.39,76.55,18,0,9.22,clear sky
266,Cortes,ES,41.94,-1.44,42.8,93,94,8.05,overcast clouds
267,Kalengwa,ZM,-13.47,25.0,63.36,96,97,3.53,overcast clouds
268,Trebinje,BA,42.71,18.34,53.6,62,0,5.82,clear sky
269,Vila Do Maio,CV,15.13,-23.22,73.4,73,40,13.87,scattered clouds
270,Tutoia,BR,-2.76,-42.27,84.2,74,20,16.11,few clouds
271,Bulungu,CD,-4.55,18.6,68.11,97,100,1.81,overcast clouds
272,Baruun-Urt,MN,46.68,113.28,0.14,89,0,15.73,clear sky
273,Hamilton,US,39.18,-84.53,44.6,70,75,8.05,broken clouds
274,Grand Gaube,MU,-20.01,57.66,75.99,85,2,1.99,clear sky
275,Nara,JP,34.69,135.8,36.0,86,40,5.82,scattered clouds
276,Lazaro Cardenas,MX,17.96,-102.2,82.02,66,100,6.85,overcast clouds
277,Kang,BW,-23.68,22.79,72.73,67,97,13.67,light rain
278,Bose,IT,45.46,8.01,44.01,95,96,0.6,overcast clouds
279,Kavaratti,IN,10.57,72.64,80.8,69,95,6.76,overcast clouds
280,Yulara,AU,-25.24,130.99,69.8,83,100,10.29,overcast clouds
281,Adeje,ES,28.12,-16.73,68.0,72,75,10.29,broken clouds
282,Sambava,MG,-14.27,50.17,76.21,88,98,8.41,light rain
283,Kidal,ML,18.44,1.41,69.57,23,0,13.29,clear sky
284,Saint-Augustin,CA,51.23,-58.65,21.65,96,97,4.45,overcast clouds
285,Bulgan,MN,48.81,103.53,8.42,80,49,3.6,scattered clouds
286,Kintampo,GH,8.06,-1.73,82.72,35,32,3.94,scattered clouds
287,Tessalit,ML,20.2,1.01,60.6,31,0,10.98,clear sky
288,Luang Prabang,LA,19.89,102.13,51.06,85,5,2.53,clear sky
289,Veraval,IN,20.9,70.37,69.58,38,0,10.58,clear sky
290,Roebourne,AU,-20.78,117.13,86.4,58,49,14.5,scattered clouds
291,Bokovskaya,RU,49.23,41.83,19.98,97,97,13.22,overcast clouds
292,Rocha,UY,-34.48,-54.33,63.82,58,52,14.14,broken clouds
293,Kabompo,ZM,-13.59,24.2,63.63,97,99,4.03,light rain
294,Naze,JP,28.37,129.48,59.0,58,75,12.75,broken clouds
295,Termoli,IT,41.99,14.99,46.99,92,76,4.47,broken clouds
296,Hobyo,SO,5.35,48.53,78.64,78,83,18.7,broken clouds
297,Sao Joao Da Barra,BR,-21.64,-41.05,82.4,74,0,23.04,clear sky
298,Pacific Grove,US,36.62,-121.92,66.2,32,1,8.05,clear sky
299,Port Hedland,AU,-20.32,118.57,80.6,83,100,5.82,overcast clouds
300,George Town,MY,5.41,100.34,78.8,88,20,3.36,few clouds
301,Shu,KZ,43.6,73.76,17.51,97,99,3.87,overcast clouds
302,Coahuayana,MX,18.73,-103.68,86.0,40,40,11.41,scattered clouds
303,Zaraza,VE,9.35,-65.32,78.44,80,56,7.25,broken clouds
304,Lebu,CL,-37.62,-73.65,56.57,75,0,19.73,clear sky
305,Kaitangata,NZ,-46.28,169.85,55.0,90,100,20.0,overcast clouds
306,Limon,CR,10.0,-83.03,84.2,66,20,2.24,few clouds
307,Nadvoitsy,RU,63.87,34.32,36.9,94,100,9.75,overcast clouds
308,Kutum,SD,14.2,24.67,57.16,35,18,7.18,few clouds
309,Salmas,IR,38.2,44.77,26.6,92,0,4.7,mist
310,Hoquiam,US,46.98,-123.89,53.01,81,40,6.93,mist
311,Batabano,CU,22.72,-82.29,82.4,58,40,6.93,scattered clouds
312,Cartagena Del Chaira,CO,1.33,-74.84,85.23,62,82,3.24,broken clouds
313,Korla,CN,41.76,86.15,16.57,93,0,1.16,clear sky
314,Ajdabiya,LY,30.76,20.23,58.48,64,0,12.26,clear sky
315,Luanda,AO,-8.84,13.23,75.74,82,95,3.96,overcast clouds
316,Curup,ID,-3.47,102.53,66.99,80,89,1.57,overcast clouds
317,Meulaboh,ID,4.14,96.13,76.01,88,90,3.83,overcast clouds
318,Waingapu,ID,-9.66,120.26,79.61,82,100,9.89,overcast clouds
319,Durban,ZA,-29.86,31.03,77.0,88,100,1.99,overcast clouds
